Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Instrument,CurrentPrice,ROCE,StockP/E,EPS,Earningsyield
507864,Pioneer Investcorp Ltd,PIONRINV,PIONEER INVESTCORP LTD.,10,Other Financial Services,Equity,51.6,5.52,44.3,,
507872,Ashnoor Textiles Mills Ltd.,ASHNOOR,ASHNOOR TEXTILE MILLS LTD.,10,Textiles,Equity,,,,,
507878,"Unitech Ltd.,",UNITECH,UNITECH LTD.,2,Realty,Equity,3.4,-4.66,,-5.97,-9.13
507880,"V.I.P. Industries Ltd.,",VIPIND,V.I.P.INDUSTRIES LTD.-$,2,Other Apparels & Accessories,Equity,593,-11.9,815,0.73,0.49
507886,"Dhruv Estates Ltd.,",DHRUVES,DHRUV ESTATES LTD.,10,Realty,Equity,,,,,
507910,FIBERWEB (INDIA) LTD.,FIBERWEB,FIBERWEB (INDIA) LTD.,10,Plastic Products,Equity,51.2,10.8,11.4,4.5,12.8
507912,LKP Finance Limited,LKPFIN,LKP Finance Limited,10,Other Financial Services,Equity,136,29.6,2.1,64.8,35
507917,East Buildtech Limited,EASTBUILD,EAST BUILDTECH LTD.,10,Realty,Equity,,,,,
507938,"Manipal Finance Corporation Ltd.,",MNPLFIN,MANIPAL FINANCE CORPORATION LTD.,10,Finance (including NBFCs),Equity,,,,,
507944,"Bajaj Steel Industries Ltd.,",BAJAJST,BAJAJ STEEL INDUSTRIES LTD.,5,Industrial Machinery,Equity,1069,47.5,7.4,144,22.3
507946,Kiduja  India  Ltd,KIDUJA,KIDUJA INDIA LTD.,10,Finance (including NBFCs),Equity,,,,,
507948,Key Corp Ltd,KEYCORP,KEY CORP LTD.,10,Finance (including NBFCs),Equity,,,,,
507952,Shikhar Leasing and Trading Ltd.,SHIKHARLETR,SHIKHAR LEASING & TRADING LTD.,10,Finance (including NBFCs),Equity,,,,,
507960,Gujarat Hotels Ltd.,GUJHOTE,GUJARAT HOTELS LTD.,10,Hotels,Equity,,,,,
507962,Rajath Finance Limited,RAJATH,Rajath Finance Limited,10,Finance (including NBFCs),Equity,7.98,-1,,,
507966,"Ras Resorts & Apart Hotels Ltd.,",RASRESOR,RAS RESORTS & APART HOTELS LTD.,10,Hotels,Equity,,,,,
507970,Paramount Cosmetics (India) Ltd,PARMCOS-B,PARAMOUNT COSMETICS (INDIA) LTD.,10,Personal Products,Equity,,,,,
507981,"Jindal Hotels Ltd.,",JINDHOT,JINDAL HOTELS LTD.,10,Hotels,Equity,,,,,
507987,"Jupiter Industries & Leasing Ltd.,",JPTRLES,JUPITER INDUSTRIES & LEASING LTD.,10,Finance (including NBFCs),Equity,,,,,
507998,Simmonds-Marshall Ltd,SIMMOND,SIMMONDS MARSHALL LTD.,2,Auto Parts & Equipment,Equity,68.3,-8,,-7.43,1.1
508136,B & A Ltd.,BNALTD,B & A LTD.,10,Tea & Coffee,Equity,242,24,5.61,43.2,26.2
508306,"Ledo Tea Co. Ltd.,",LEDOTEA,LEDO TEA CO.LTD.,10,Tea & Coffee,Equity,,,,,
508486,Hawkins Cooker Ltd.,HAWKINCOOK,HAWKINS COOKERS LTD.-$,10,Houseware,Equity,,,,,
508494,Warren Tea Ltd.,WARRENTEA,WARREN TEA LTD.-$,10,Tea & Coffee,Equity,88.4,4.06,,16.4,-6.72
508571,Cochin Malabar Estates & Indus. Ltd,COCHMAL,COCHIN MALABAR ESTATES & INDUSTRIES LTD.,10,Auto Tyres & Rubber Products,Equity,83,15.6,2.74,29.4,26.6
508664,Best Eastern Hotels Limited,BESTEAST,BEST EASTERN HOTELS LTD.,1,Hotels,Equity,,,,,
508670,"Neelamalai Agro Industries Ltd.,",NEAGI,NEELAMALAI AGRO INDUSTRIES LTD.,10,Tea & Coffee,Equity,3938,14,8.64,463,12.4
508807,IST Limited,ISTLTD,IST LTD.,5,Auto Parts & Equipment,Equity,508,15.8,5.6,90.7,24.3
508814,"Cosmo Films Ltd.,",COSMOFILMS,COSMO FILMS LTD.,10,Containers & Packaging,Equity,1808,23.2,10.2,177,11.7
508860,Diamant Infrastructure Limited,DIAMANT,Diamant Infrastructure Limited,2,Construction & Engineering,Equity,0.93,4.43,,-0.96,10.2
508867,New Markets Advisory Ltd,NEWMKTADV,NEW MARKETS ADVISORY LTD.,10,IT Software Products,Equity,,,,,
508869,"Apollo Hospitals Enterprises Ltd.,",APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,5,Healthcare Facilities,Equity,4645,8.44,85.8,72.3,2.1
508875,Nitin Castings Limited,NITINCAST,Nitin Castings Ltd,5,Misc.Commercial Services,Equity,,,,,
508905,"SMIFS Capital Markets Ltd.,",SMIFS,SMIFS CAPITAL MARKETS LTD.,10,Other Financial Services,Equity,43.4,0.84,69.4,0.63,14.3
508906,Everest Industries Ltd.,EVERESTIND,EVEREST INDUSTRIES LTD.,10,Cement & Cement Products,Equity,609,18.3,19.7,31,8.95
508918,IRONWOOD EDUCATION LIMITED,IRONWOOD,Ironwood Education Ltd,10,Education,Equity,40.2,-8.24,,-2.48,-3.97
508922,MSR India Limited,MSRINDIA,MSR INDIA LTD.,5,Houseware,Equity,,,,,
508924,"Northern Projects Ltd.,",NORTHPR,NORTHERN PROJECTS LTD.,10,Misc.Commercial Services,Equity,,,,,
508929,Joy Realty Limited,JOYREALTY,Joy Realty Limited,10,Realty,Equity,,,,,
508933,AYM Syntex Limited,AYMSYNTEX,AYM Syntex Ltd,10,Textiles,Equity,141,2.8,,,
508941,Panasonic Carbon India Co.Ltd,PANCARBON,PANASONIC CARBON INDIA CO.LTD.-$,10,Other Industrial Goods,Equity,,,,,
508954,Finkurve Financial Services Limited,FINKURVE,Finkurve Financial Services Ltd,1,Finance (including NBFCs),Equity,41.2,6.44,133,0.31,2.14
508956,"HB Leasing & Finance Co. Ltd.,",HBLEAS,HB LEASING & FINANCE CO.LTD.,10,Finance (including NBFCs),Equity,,,,,
508961,"Shricon Industries Ltd.,",SHRICON,SHRICON INDUSTRIES LTD.,10,Finance (including NBFCs),Equity,,,,,
508963,Sterling Guarantee & Fin. Ltd,STRLGUA,STERLING GUARANTY & FINANCE LTD.,10,Finance (including NBFCs),Equity,,,,,
508969,Sulabh Engineers & Services Limited,SULABEN,SULABH ENGINEERS & SERVICES LTD.,1,Finance (including NBFCs),Equity,8.25,4.59,69.1,0.12,1.87
508980,Frontier Capital Limited,FRONTCAP,Frontier Capital Ltd,10,Misc.Commercial Services,Equity,3.72,13.3,,-15.7,393
508989,Navneet Education Limited,NAVNETEDUL,Navneet Education Limited,2,Publishing,Equity,94.8,5.29,64.4,1.46,3.15
508993,"Kedia Construction Co. Ltd.,",KEDIACN,KEDIA CONSTRUCTION CO.LTD.,5,Realty,Equity,,,,,
508996,Satra Properties(India) Ltd,SATRAPROP,SATRA PROPERTIES (INDIA) LTD.,2,Realty,Equity,2.47,-7.38,,-0.53,-7.2
509003,"Transoceanic Properties Ltd.,",TRANOCE,TRANSOCEANIC PROPERTIES LTD.,10,Misc.Commercial Services,Equity,,,,,
509009,AuSom Enterprise Limited,AUSOMENT,AuSom Enterprise Limited,10,Comm.Trading  & Distribution,Equity,74.1,8.26,6.48,11.4,22.1
509015,Thakral Services (India) Limited,THAKRAL,THAKRAL SERVICES (INDIA) LTD.,3,Electronic Components,Equity,,,,,
509020,Ruchi Infrastructure Ltd,RUCHINFRA,RUCHI INFRASTRUCTURE LTD.,1,Misc.Commercial Services,Equity,11.4,2.8,,-0.14,2.94
509026,VJTF Eduservices Limited,VJTFEDU,VJTF EDUSERVICES LTD.,10,Education,Equity,58,-0.55,,,
509038,"Voltaire Leasing & Finance Ltd.,",VOLLF,VOLTAIRE LEASING & FINANCE LTD.,10,Finance (including NBFCs),Equity,30,-3.32,,-1.04,-3.62
509040,Netlink Solutions (India) Ltd.,NETLINK,NETLINK SOLUTIONS (INDIA) LTD.,10,IT Software Products,Equity,,,,,
509046,"Leena Consultancy Ltd.,",ZLEENCON,LEENA CONSULTANCY LTD.,10,Misc.Commercial Services,Equity,,,,,
509048,Lancor Holdings Ltd.,LANCORHOL,LANCOR HOLDINGS LTD.,2,Realty,Equity,20.8,3.5,,-4.04,2.89
509051,"Indian Infotech And Software Ltd.,",INDINFO,INDIAN INFOTECH & SOFTWARE LTD.,1,IT Software Products,Equity,9.14,0.47,3996,0,0.05
509053,Banas Finance Limited,BANASFN,BANAS FINANCE LTD.,10,Misc.Commercial Services,Equity,139,10,7.13,19.5,13.4
509055,"Visaka Industries Ltd.,",VISAKAIND,VISAKA INDUSTRIES LTD.,10,Cement & Cement Products,Equity,667,21.5,9.28,,
509069,Infomedia Press Limited,INFOMEDIA,INFOMEDIA PRESS LTD.,10,Publishing,Equity,5.35,-39.2,,-9.14,-66.1
509073,Hathway Bhawani Cabletel & Datacom,HATHWAYB,HATHWAY BHAWANI CABLETEL & DATACOM LTD.,10,Broadcasting & Cable TV,Equity,35,165,35,1,3.58
509077,Pressman Advertising Limited,PRESSMN,Pressman Advertising Limited,2,Advertising & Media,Equity,,,,,
509079,Gufic BioSciences Ltd.,GUFICBIO,GUFIC BIOSCIENCES LTD.,1,Pharmaceuticals,Equity,,,,,
509084,Photon Capital Advisors Ltd,PHOTON,PHOTON CAPITAL ADVISORS LTD.,10,Misc.Commercial Services,Equity,28.6,-0.19,15.4,1.85,9.72
509099,"Oswal Leasing Ltd.,",OSWALEA,OSWAL LEASING LTD.,10,Misc.Commercial Services,Equity,,,,,
509152,GRP Limited,GRPLTD,GRP LTD.,10,Auto Tyres & Rubber Products,Equity,1449,2.42,21.4,,
509162,"Indag Rubber Ltd.,",INDAG,INDAG RUBBER LTD.-$,2,Auto Tyres & Rubber Products,Equity,83.1,8.77,,-0.82,5.09
509196,"M.M. Rubber Company Ltd.,",MMRUBBR-B,MM RUBBER COMPANY LTD.,2,Auto Tyres & Rubber Products,Equity,,,,,
509220,PTL Enterprises Ltd,PTL,PTL ENTERPRISES LTD.-$,1,Misc.Commercial Services,Equity,35.6,14.1,10.4,3.44,14.9
509243,"TVS Srichakra Ltd.,",TVSSRICHAK,TVS SRICHAKRA LTD.-$,10,Auto Tyres & Rubber Products,Equity,2102,12.4,16.5,128,7.78
509423,Sanathnagar Enterprises Limited,SEL,Sanathnagar Enterprises Limited,10,Commodity Chemicals,Equity,47,-104,,,-13.9
509438,Benares Hotels Ltd,BENARAS,BENARES HOTELS LTD.,10,Hotels,Equity,,,,,
509449,"Bhagwati Oxygen Ltd.,",BHAGWOX,BHAGWATI OXYGEN LTD.,10,Commodity Chemicals,Equity,,,,,
